;country_i;country_j;dist;pop_i_mean;pop_j_mean;gni_i_mean;gni_j_mean;country_flow;dist_pop
144;ABW;MLT;8720;96816,8;407544,4;24230;18062;0;8720
145;ABW;MMR;16427;96816,8;48400742,8;24230;418;0;16427
146;ABW;MNE;;96816,8;616084,8;24230;5262;0;NA
147;ABW;MNG;13304;96816,8;2609348;24230;1396;0;13304
148;ABW;MNP;15029;96816,8;63044,6;24230;NA;NA;15029
149;ABW;MOZ;11865;96816,8;21301968;24230;470;0;11865
150;ABW;MRT;5818;96816,8;3160609,8;24230;1242;0;5818
151;ABW;MSR;965;96816,8;NA;24230;NA;NA;965
152;ABW;MTQ;996;96816,8;NA;24230;NA;0;996
153;ABW;MUS;14385;96816,8;1238686;24230;6616;0;14385
154;ABW;MWI;11975;96816,8;13511554,6;24230;496;0;11975
155;ABW;MYS.1;;96816,8;NA;24230;NA;NA;NA
156;ABW;MYS.2;18051;96816,8;NA;24230;NA;NA;18051
157;ABW;MYT;13022;96816,8;NA;24230;NA;0;13022
158;ABW;NAM;10251;96816,8;2013477,2;24230;4064;0;10251
159;ABW;NCL;13967;96816,8;239190;24230;NA;0;13967
160;ABW;NER;7795;96816,8;14922270,4;24230;394;0;7795
161;ABW;NFK;13784;96816,8;NA;24230;NA;NA;13784
162;ABW;NGA;8068;96816,8;148418555,6;24230;1990;0;8068
163;ABW;NIC;1765;96816,8;5610065;24230;1282;0;1765
164;ABW;NIU;11489;96816,8;NA;24230;NA;NA;11489
165;ABW;NLD;7891;96816,8;16404729,2;24230;47966;87;7891
166;ABW;NOR;8296;96816,8;4718011,8;24230;77816;1;8296
167;ABW;NPL;14827;96816,8;26685244,2;24230;382;0;14827
168;ABW;NRU;13615;96816,8;10271;24230;NA;NA;13615
169;ABW;NZL;13076;96816,8;4220940;24230;27656;0;13076
170;ABW;OMN;13151;96816,8;2606021,2;24230;15056;0;13151
171;ABW;PAK.1;;96816,8;NA;24230;NA;NA;NA
172;ABW;PAK.2;13791;96816,8;NA;24230;NA;NA;13791
173;ABW;PAN;1109;96816,8;3432134,8;24230;5856;1;1109
174;ABW;PCN;7535;96816,8;NA;24230;NA;NA;7535
175;ABW;PER;2825;96816,8;28588848,6;24230;3236;0;2825
176;ABW;PHL;16772;96816,8;89584747,8;24230;1748;0;16772
